vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
JN8AS5MT1FW163122,7313557068,277953827,2015.0,Nissan,Nissan,Rogue Select,Rogue Select,12995,12493.0,46234.0,41671.0,0,,1
4S4BSANC6H3383850,7307479078,278622781,2017.0,Subaru,Subaru,Outback,Outback,18550,21500.0,76394.0,76394.0,0,,1
,7316859825,279604600,,Cadillac,Honda,Xt4 Sport Suv 4D,Odyssey,34590,48940.0,19083.0,4.0,,,0
,7308349906,273944923,,Ford,Hyundai,Mustang 2Dr Cpe V6,Elantra Gt,14900,20404.0,82000.0,10.0,,,0
,7304109536,268088888,,Honda,Jeep,Cr-V,Compass,24998,7950.0,22855.0,89715.0,,,0
,7307905698,279626892,,Dodge,Ford,Dart,Escape,8998,17490.0,79563.0,49412.0,,,0
1N6AD06U99C424854,7311046445,275439388,2009.0,Nissan,Nissan,Frontier,Frontier,9995,9999.0,211153.0,211129.0,0,,1
,7316785419,279396284,,Ford,Jeep,Explorer,Wrangler Unlimited,12995,40965.0,162263.0,166.0,,,0
,7304718085,279005072,,Ford,Volkswagen,Focus,Tiguan,10990,18995.0,54511.0,18865.0,,,0
JF2SHADC1DH412657,7303818094,280777370,2013.0,Subaru,Subaru,Forester Premium Awd,Forester,7990,7990.0,147000.0,147847.0,0,,1
,7310758593,264979859,,Dodge,Ford,Journey R/T Sport Utility,Fusion,20990,15995.0,13337.0,31550.0,,,0
,7316355395,278089101,,Honda,Ford,Accord,F-150,9995,33742.0,224068.0,74599.0,,,0
5TDZZRFH9KS369082,7313557625,280198244,2019.0,Toyota,Toyota,Highlander,Highlander,29900,32985.0,11628.0,11607.0,0,,1
,7316478820,276650698,,Kia,Kia,Cadenza Premium Sedan 4D,Forte,23990,18436.0,17150.0,5.0,,,0
,7316239331,270256958,,Honda,Ram,Civic,1500,4500,41722.0,164876.0,7.0,,,0
,7312953362,256149727,,Gmc,Chevrolet,Sierra 1500,Trax,33995,17601.0,118124.0,2000.0,,,0
2HGFA1F8XBH512987,7311092942,281269545,2011.0,Honda,Honda,Civic,Civic,8999,9999.0,99391.0,99391.0,0,,1
,7305840169,280136625,,Chevrolet,Chevrolet,Suburban,Silverado 2500Hd,2995,42747.0,256000.0,2.0,,,0
,7316464838,279581465,,Chevrolet,Ford,Impala Ltz Sedan 4D,Fusion,23990,19504.0,18388.0,3523.0,,,0
1G2ZH17N984136577,7304314224,279005444,2008.0,Pontiac,Pontiac,G6,G6,3495,3995.0,142701.0,142701.0,0,,1
,7313864179,266593662,,Dodge,Land Rover,Charger,Range Rover Sport,39999,93430.0,10538.0,143.0,,,0
,7314575116,279311653,,Ford,Dodge,F-350,Challenger,71992,29995.0,18119.0,,,,0
1G8ZY12781Z108065,7315578760,279505614,2001.0,Saturn,Saturn,Sc2,S-Series,3995,4995.0,91035.0,91035.0,1,"Model diverso: CR=sc2, UC=s-series",1
